City,State,Housing type,Project,Units,Sq. ft. per unit,Population density,Neighborhood median income,Total duration (years),Total duration low,Total duration high,Total duration 95% CI,Permitting duration (years),Permitting low,Permitting high,Permitting 95% CI,Rank (longest first)
San Diego,CA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.26,1.95,2.57,1.95–2.57,0.59,0.47,0.7,0.47–0.7,13
Durham,NC,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.19,1.28,3.09,1.28–3.09,0.21,0.12,0.3,0.12–0.3,14
Providence,RI,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.18,1.4,2.97,1.4–2.97,0.21,0.04,0.39,0.04–0.39,15
Honolulu,HI,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.14,1.76,2.53,1.76–2.53,1.19,0.79,1.59,0.79–1.59,16
Portland,OR,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.04,1.8,2.29,1.8–2.29,0.69,0.57,0.82,0.57–0.82,17
Austin,TX,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.02,1.83,2.22,1.83–2.22,0.52,0.44,0.6,0.44–0.6,18
Louisville,KY,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",2.02,1.13,2.9,1.13–2.9,0.17,0.09,0.25,0.09–0.25,19
Oklahoma City,OK,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.89,1.63,2.14,1.63–2.14,0.04,0.02,0.06,0.02–0.06,20
Albuquerque,NM,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.88,1.28,2.47,1.28–2.47,0.28,0.13,0.43,0.13–0.43,21
Jacksonville,FL,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.79,1.43,2.14,1.43–2.14,0.45,0.31,0.59,0.31–0.59,22
Fort Worth,TX,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.71,1.51,1.91,1.51–1.91,0.14,0.09,0.19,0.09–0.19,23
Colorado Springs,CO,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.7,1.13,2.28,1.13–2.28,0.19,0.11,0.26,0.11–0.26,24
Houston,TX,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.62,1.34,1.89,1.34–1.89,0.24,0.12,0.35,0.12–0.35,25
Columbus,OH,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.46,1.25,1.67,1.25–1.67,0.17,0.12,0.23,0.12–0.23,26
Nashville,TN,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.27,0.96,1.58,0.96–1.58,0.13,0.07,0.19,0.07–0.19,27
El Paso,TX,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.24,0.89,1.59,0.89–1.59,0.16,0.05,0.27,0.05–0.27,28
Tampa,FL,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.19,0.92,1.46,0.92–1.46,0.41,0.27,0.56,0.27–0.56,29
Wilmington,NC,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.16,0.62,1.7,0.62–1.7,0,0,0,0–0,30
New Orleans,LA,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.14,0.94,1.35,0.94–1.35,0.07,0.05,0.09,0.05–0.09,31
Denver,CO,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.08,0.9,1.26,0.9–1.26,0.27,0.09,0.46,0.09–0.46,32
San Antonio,TX,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",1.04,0.8,1.28,0.8–1.28,0.12,0.06,0.17,0.06–0.17,33
Reno,NV,Duplex/triplex,"3 units, 800 sq. ft. each",3,800,"4,000/sq. mi.","$80,000",0.81,0.66,0.96,0.66–0.96,0.3,0.19,0.41,0.19–0.41,34
Tulsa,OK,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",9.16,6.64,11.67,6.64–11.67,1.11,0.76,1.47,0.76–1.47,1
San Francisco,CA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",5.37,4.35,6.4,4.35–6.4,2.2,1.59,2.8,1.59–2.8,2
Washington,DC,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",4.19,3.07,5.31,3.07–5.31,1.41,0.86,1.95,0.86–1.95,3
Los Angeles,CA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",3.91,3.56,4.26,3.56–4.26,1.54,1.34,1.73,1.34–1.73,4
Phoenix,AZ,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",3.13,2.86,3.4,2.86–3.4,1.7,1.41,1.98,1.41–1.98,5
Oakland,CA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",3.1,2.38,3.82,2.38–3.82,0.53,0.36,0.7,0.36–0.7,6
New York,NY,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",3.06,2.95,3.17,2.95–3.17,0.77,0.72,0.82,0.72–0.82,7
Philadelphia,PA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.96,2.67,3.25,2.67–3.25,0.22,0.19,0.26,0.19–0.26,8
Boston,MA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.7,2.41,2.99,2.41–2.99,1.17,0.97,1.38,0.97–1.38,9
Seattle,WA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.67,2.55,2.79,2.55–2.79,0.86,0.8,0.91,0.8–0.91,10
Boulder,CO,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.5,2.1,2.91,2.1–2.91,0.76,0.53,0.98,0.53–0.98,11
Sacramento,CA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.46,1.91,3,1.91–3,0.38,0.17,0.59,0.17–0.59,12
San Diego,CA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.35,2.07,2.62,2.07–2.62,0.6,0.49,0.7,0.49–0.7,13
Providence,RI,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.22,1.43,3.01,1.43–3.01,0.22,0.05,0.38,0.05–0.38,14
Honolulu,HI,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.15,1.77,2.53,1.77–2.53,1.14,0.76,1.52,0.76–1.52,15
Portland,OR,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.13,1.9,2.37,1.9–2.37,0.72,0.61,0.84,0.61–0.84,16
Durham,NC,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.07,1.28,2.87,1.28–2.87,0.25,0.15,0.35,0.15–0.35,17
Austin,TX,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.07,1.87,2.26,1.87–2.26,0.56,0.48,0.63,0.48–0.63,18
Oklahoma City,OK,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",2.05,1.75,2.35,1.75–2.35,0.05,0.02,0.07,0.02–0.07,19
Louisville,KY,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.93,1.14,2.73,1.14–2.73,0.16,0.08,0.24,0.08–0.24,20
Albuquerque,NM,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.88,1.36,2.4,1.36–2.4,0.33,0.16,0.5,0.16–0.5,21
Jacksonville,FL,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.85,1.49,2.2,1.49–2.2,0.46,0.31,0.6,0.31–0.6,22
Colorado Springs,CO,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.83,1.22,2.43,1.22–2.43,0.3,0.18,0.43,0.18–0.43,23
Fort Worth,TX,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.74,1.55,1.93,1.55–1.93,0.18,0.12,0.24,0.12–0.24,24
Houston,TX,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.71,1.42,2.01,1.42–2.01,0.24,0.13,0.36,0.13–0.36,25
Columbus,OH,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.57,1.36,1.78,1.36–1.78,0.19,0.14,0.24,0.14–0.24,26
Nashville,TN,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.36,1.05,1.68,1.05–1.68,0.14,0.08,0.2,0.08–0.2,27
Tampa,FL,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.33,1.09,1.57,1.09–1.57,0.45,0.31,0.58,0.31–0.58,28
Wilmington,NC,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.3,0.7,1.91,0.7–1.91,0,0,0,0–0,29
El Paso,TX,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.23,0.88,1.58,0.88–1.58,0.19,0.06,0.32,0.06–0.32,30
New Orleans,LA,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.22,1.02,1.43,1.02–1.43,0.08,0.05,0.11,0.05–0.11,31
Denver,CO,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.19,1,1.38,1–1.38,0.29,0.09,0.49,0.09–0.49,32
San Antonio,TX,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",1.08,0.84,1.32,0.84–1.32,0.12,0.07,0.18,0.07–0.18,33
Reno,NV,Duplex/triplex,"3 units, 1,200 sq. ft. each",3,1200,"4,000/sq. mi.","$80,000",0.94,0.81,1.07,0.81–1.07,0.32,0.22,0.42,0.22–0.42,34
Tulsa,OK,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",8.95,6.68,11.22,6.68–11.22,0.99,0.7,1.29,0.7–1.29,1
San Francisco,CA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",5.89,4.8,6.97,4.8–6.97,2.53,1.86,3.2,1.86–3.2,2
Washington,DC,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",4.28,3.14,5.43,3.14–5.43,1.33,0.8,1.85,0.8–1.85,3
Los Angeles,CA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",3.84,3.51,4.17,3.51–4.17,1.54,1.35,1.73,1.35–1.73,4
Oakland,CA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",3.23,2.51,3.94,2.51–3.94,0.55,0.39,0.71,0.39–0.71,5
New York,NY,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",3.14,3.04,3.25,3.04–3.25,0.76,0.71,0.81,0.71–0.81,6
Philadelphia,PA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.98,2.69,3.27,2.69–3.27,0.23,0.19,0.27,0.19–0.27,7
Phoenix,AZ,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.95,2.7,3.21,2.7–3.21,1.35,1.11,1.58,1.11–1.58,8
Seattle,WA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.77,2.64,2.9,2.64–2.9,0.89,0.83,0.95,0.83–0.95,9
Boston,MA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.7,2.43,2.98,2.43–2.98,1.19,0.99,1.4,0.99–1.4,10
Sacramento,CA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.51,1.98,3.04,1.98–3.04,0.38,0.18,0.58,0.18–0.58,11
Boulder,CO,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.49,2.1,2.88,2.1–2.88,0.72,0.53,0.92,0.53–0.92,12
San Diego,CA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.41,2.12,2.69,2.12–2.69,0.61,0.5,0.72,0.5–0.72,13
Providence,RI,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.24,1.44,3.04,1.44–3.04,0.22,0.06,0.38,0.06–0.38,14
Portland,OR,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.2,1.97,2.44,1.97–2.44,0.75,0.64,0.86,0.64–0.86,15
Oklahoma City,OK,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.17,1.83,2.52,1.83–2.52,0.05,0.02,0.09,0.02–0.09,16
Honolulu,HI,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.15,1.77,2.53,1.77–2.53,1.1,0.73,1.47,0.73–1.47,17
Austin,TX,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",2.1,1.9,2.3,1.9–2.3,0.58,0.5,0.66,0.5–0.66,18
Durham,NC,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.99,1.24,2.75,1.24–2.75,0.28,0.17,0.39,0.17–0.39,19
Colorado Springs,CO,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.92,1.28,2.55,1.28–2.55,0.43,0.26,0.6,0.26–0.6,20
Jacksonville,FL,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.89,1.53,2.25,1.53–2.25,0.46,0.31,0.61,0.31–0.61,21
Albuquerque,NM,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.89,1.4,2.37,1.4–2.37,0.36,0.17,0.56,0.17–0.56,22
Louisville,KY,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.88,1.13,2.62,1.13–2.62,0.15,0.08,0.23,0.08–0.23,23
Houston,TX,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.78,1.48,2.09,1.48–2.09,0.25,0.13,0.37,0.13–0.37,24
Fort Worth,TX,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.77,1.58,1.95,1.58–1.95,0.22,0.15,0.28,0.15–0.28,25
Columbus,OH,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.65,1.43,1.87,1.43–1.87,0.2,0.15,0.24,0.15–0.24,26
Tampa,FL,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.45,1.22,1.67,1.22–1.67,0.47,0.34,0.6,0.34–0.6,27
Nashville,TN,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.43,1.11,1.75,1.11–1.75,0.15,0.08,0.21,0.08–0.21,28
Wilmington,NC,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.42,0.76,2.08,0.76–2.08,0,0,0,0–0,29
New Orleans,LA,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.28,1.06,1.5,1.06–1.5,0.09,0.06,0.12,0.06–0.12,30
Denver,CO,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.28,1.08,1.47,1.08–1.47,0.31,0.1,0.51,0.1–0.51,31
El Paso,TX,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.22,0.87,1.58,0.87–1.58,0.21,0.06,0.37,0.06–0.37,32
San Antonio,TX,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.1,0.86,1.35,0.86–1.35,0.13,0.08,0.18,0.08–0.18,33
Reno,NV,Duplex/triplex,"3 units, 1,600 sq. ft. each",3,1600,"4,000/sq. mi.","$80,000",1.05,0.91,1.18,0.91–1.18,0.33,0.22,0.44,0.22–0.44,34
Miami,FL,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",5.73,4.56,6.91,4.56–6.91,1.85,1.27,2.44,1.27–2.44,1
Oakland,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",5.1,3.97,6.23,3.97–6.23,1.14,0.78,1.5,0.78–1.5,2
San Francisco,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",4.55,3.97,5.13,3.97–5.13,1.73,1.33,2.13,1.33–2.13,3
New York,NY,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",3.88,3.71,4.06,3.71–4.06,1.3,1.18,1.42,1.18–1.42,4
Los Angeles,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",3.74,3.54,3.94,3.54–3.94,1.51,1.39,1.64,1.39–1.64,5
Boston,MA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",3.37,3.05,3.7,3.05–3.7,1.69,1.44,1.94,1.44–1.94,6
Seattle,WA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.89,2.72,3.06,2.72–3.06,0.93,0.86,1.01,0.86–1.01,7
Washington,DC,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.77,2.38,3.17,2.38–3.17,0.75,0.56,0.94,0.56–0.94,8
Houston,TX,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.74,2.63,2.86,2.63–2.86,0.71,0.64,0.77,0.64–0.77,9
Durham,NC,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.71,2.31,3.11,2.31–3.11,0.26,0.2,0.33,0.2–0.33,10
Sacramento,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.65,2.23,3.06,2.23–3.06,0.96,0.7,1.22,0.7–1.22,11
Baton Rouge,LA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.63,1.78,3.48,1.78–3.48,0.55,0.36,0.75,0.36–0.75,12
Philadelphia,PA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.59,2.29,2.9,2.29–2.9,0.27,0.2,0.33,0.2–0.33,13
Tulsa,OK,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.33,1.9,2.76,1.9–2.76,0.82,0.6,1.05,0.6–1.05,14
San Diego,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.32,2.12,2.53,2.12–2.53,0.67,0.59,0.74,0.59–0.74,15
Phoenix,AZ,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.29,2.05,2.53,2.05–2.53,1.03,0.85,1.21,0.85–1.21,16
Denver,CO,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.17,1.99,2.35,1.99–2.35,0.52,0.43,0.61,0.43–0.61,17
Austin,TX,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.16,2.05,2.26,2.05–2.26,0.63,0.57,0.69,0.57–0.69,18
Boise,ID,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.11,1.74,2.48,1.74–2.48,0.76,0.49,1.02,0.49–1.02,19
Portland,OR,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.05,1.95,2.16,1.95–2.16,0.8,0.73,0.87,0.73–0.87,20
Boulder,CO,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2.05,1.72,2.38,1.72–2.38,0.54,0.37,0.71,0.37–0.71,21
Honolulu,HI,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",2,1.74,2.27,1.74–2.27,0.77,0.65,0.89,0.65–0.89,22
Spokane,WA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.89,1.41,2.38,1.41–2.38,0.31,0.21,0.41,0.21–0.41,23
Charleston,SC,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.88,1.51,2.26,1.51–2.26,0.34,0.1,0.59,0.1–0.59,24
Sioux Falls,SD,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.87,1.67,2.07,1.67–2.07,0.25,0.2,0.3,0.2–0.3,25
Atlanta,GA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.81,1.6,2.03,1.6–2.03,1.21,0.92,1.5,0.92–1.5,26
Kansas City,MO,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.78,1.57,2,1.57–2,0.19,0.14,0.24,0.14–0.24,27
Nashville,TN,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.76,1.53,1.99,1.53–1.99,0.33,0.23,0.43,0.23–0.43,28
Tampa,FL,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.72,1.38,2.06,1.38–2.06,0.53,0.4,0.66,0.4–0.66,29
Cleveland,OH,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.7,1.46,1.94,1.46–1.94,0.4,0.28,0.52,0.28–0.52,30
Anaheim,CA,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.59,1.37,1.81,1.37–1.81,1.3,0.98,1.61,0.98–1.61,31
Fort Worth,TX,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.56,1.48,1.65,1.48–1.65,0.21,0.17,0.24,0.17–0.24,32
Jacksonville,FL,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.55,1.39,1.72,1.39–1.72,0.37,0.3,0.43,0.3–0.43,33
Orlando,FL,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.54,1.38,1.7,1.38–1.7,0.39,0.31,0.47,0.31–0.47,34
Colorado Springs,CO,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.5,1.26,1.75,1.26–1.75,0.41,0.29,0.53,0.29–0.53,35
Columbus,OH,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.5,1.41,1.6,1.41–1.6,0.28,0.25,0.31,0.25–0.31,36
Indianapolis,IN,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.44,1.28,1.6,1.28–1.6,0.51,0.39,0.62,0.39–0.62,37
Louisville,KY,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.38,1.21,1.55,1.21–1.55,0.29,0.24,0.34,0.24–0.34,38
Grand Rapids,MI,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.35,1.15,1.55,1.15–1.55,0.26,0.18,0.35,0.18–0.35,39
Reno,NV,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.27,1.2,1.34,1.2–1.34,0.08,0.06,0.1,0.06–0.1,40
Raleigh,NC,Multifamily,"5 units, 700 sq. ft. each",5,700,"4,000/sq. mi.","$80,000",1.18,1.03,1.34,1.03–1.34,0.2,0.15,0.25,0.15–0.25,41
Miami,FL,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",5.73,4.61,6.86,4.61–6.86,1.9,1.32,2.48,1.32–2.48,1
Oakland,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",4.92,4.01,5.82,4.01–5.82,1.03,0.77,1.28,0.77–1.28,2
San Francisco,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",4.59,4.07,5.11,4.07–5.11,1.76,1.38,2.14,1.38–2.14,3
New York,NY,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",3.99,3.82,4.16,3.82–4.16,1.31,1.2,1.43,1.2–1.43,4
Los Angeles,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",3.84,3.66,4.02,3.66–4.02,1.49,1.39,1.6,1.39–1.6,5
Boston,MA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",3.35,3.06,3.64,3.06–3.64,1.65,1.43,1.88,1.43–1.88,6
Seattle,WA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.91,2.74,3.07,2.74–3.07,0.94,0.87,1.01,0.87–1.01,7
Houston,TX,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.77,2.66,2.88,2.66–2.88,0.72,0.65,0.78,0.65–0.78,8
Washington,DC,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.74,2.35,3.12,2.35–3.12,0.74,0.56,0.93,0.56–0.93,9
Baton Rouge,LA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.74,1.87,3.61,1.87–3.61,0.6,0.39,0.81,0.39–0.81,10
Durham,NC,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.73,2.37,3.1,2.37–3.1,0.26,0.2,0.32,0.2–0.32,11
Philadelphia,PA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.59,2.3,2.89,2.3–2.89,0.27,0.21,0.33,0.21–0.33,12
Sacramento,CA,Multifamily,"5 units, 900 sq. ft. each",5,900,"4,000/sq. mi.","$80,000",2.58,2.21,2.96,2.21–2.96,0.95,0.72,1.19,0.72–1.19,13
